browser_classification,browser_status,browser_reason,classification,status,reason,title,url,browser_final_url,live_edges,target_id,stable_key
browser_broken,404,HTTP 404; Page not found | Prudential Regulation Authority Handbook & Rulebook,broken,404,HTTP 404,www.prarulebook.co.uk/rulebook/Content/Sector/211132,http://www.prarulebook.co.uk/rulebook/Content/Sector/211132,https://www.prarulebook.co.uk/rulebook/Content/Sector/211132,4,11d262610aee9846,external:http://www.prarulebook.co.uk/rulebook/Content/Sector/211132
browser_broken,404,HTTP 404; Page not found | Prudential Regulation Authority Handbook & Rulebook,broken,404,HTTP 404,www.prarulebook.co.uk/rulebook/Content/Sector/211133,http://www.prarulebook.co.uk/rulebook/Content/Sector/211133,https://www.prarulebook.co.uk/rulebook/Content/Sector/211133,4,e024a72bef6139e3,external:http://www.prarulebook.co.uk/rulebook/Content/Sector/211133
browser_broken,404,HTTP 404; Page not found | Prudential Regulation Authority Handbook & Rulebook,broken,404,HTTP 404,www.prarulebook.co.uk/rulebook/Glossary/FullDefinition/52268/19-02-2016,http://www.prarulebook.co.uk/rulebook/Glossary/FullDefinition/52268/19-02-2016,https://www.prarulebook.co.uk/rulebook/Glossary/FullDefinition/52268/19-02-2016,4,722b61d181784e13,external:http://www.prarulebook.co.uk/rulebook/Glossary/FullDefinition/52268/19-02-2016
browser_error,,"Error: Page.goto: NS_ERROR_UNKNOWN_HOST
Call log:
  - navigating to ""http://www.fsa.gov.uk/library/policy/cp/2011/11_05.shtml"", waiting until ""domcontentloaded""
",error,,ConnectError: [Errno -5] No address associated with hostname,http://www.fsa.gov.uk/library/policy/cp/2011/11_05.shtml,http://www.fsa.gov.uk/library/policy/cp/2011/11_05.shtml,http://www.fsa.gov.uk/library/policy/cp/2011/11_05.shtml,4,744cf20a806d474f,external:http://www.fsa.gov.uk/library/policy/cp/2011/11_05.shtml
browser_error,,"Error: Page.goto: NS_ERROR_REDIRECT_LOOP
Call log:
  - navigating to ""http://www.prarulebook.co.uk/rulebook/Content/Chapter/212478"", waiting until ""domcontentloaded""
",error,,TooManyRedirects: Exceeded maximum allowed redirects.,http://www.prarulebook.co.uk/rulebook/Content/Chapter/212478,http://www.prarulebook.co.uk/rulebook/Content/Chapter/212478,http://www.prarulebook.co.uk/rulebook/Content/Chapter/212478,9,a41742b9b8ca831b,external:http://www.prarulebook.co.uk/rulebook/Content/Chapter/212478
browser_error,,"Error: Page.goto: NS_ERROR_REDIRECT_LOOP
Call log:
  - navigating to ""http://www.prarulebook.co.uk/rulebook/Content/Chapter/307285"", waiting until ""domcontentloaded""
",error,,TooManyRedirects: Exceeded maximum allowed redirects.,http://www.prarulebook.co.uk/rulebook/Content/Chapter/307285,http://www.prarulebook.co.uk/rulebook/Content/Chapter/307285,http://www.prarulebook.co.uk/rulebook/Content/Chapter/307285,9,4cc8da06b1bc723d,external:http://www.prarulebook.co.uk/rulebook/Content/Chapter/307285
browser_error,,"Error: Page.goto: NS_ERROR_REDIRECT_LOOP
Call log:
  - navigating to ""http://www.prarulebook.co.uk/rulebook/Content/Chapter/331360"", waiting until ""domcontentloaded""
",error,,TooManyRedirects: Exceeded maximum allowed redirects.,http://www.prarulebook.co.uk/rulebook/Content/Chapter/331360,http://www.prarulebook.co.uk/rulebook/Content/Chapter/331360,http://www.prarulebook.co.uk/rulebook/Content/Chapter/331360,9,a36e2e36f48e06b5,external:http://www.prarulebook.co.uk/rulebook/Content/Chapter/331360
browser_ok,200,UK Corporate Governance Code 2024,soft_404,200,UK Corporate Governance Code 2024,https://www.frc.org.uk/Our-Work/Codes-Standards/Corporate-governance/UK-Corporate-Governance-Code.aspx,https://www.frc.org.uk/Our-Work/Codes-Standards/Corporate-governance/UK-Corporate-Governance-Code.aspx,https://www.frc.org.uk/library/standards-codes-policy/corporate-governance/uk-corporate-governance-code/,4,b71350c3d51bfaac,external:https://www.frc.org.uk/Our-Work/Codes-Standards/Corporate-governance/UK-Corporate-Governance-Code.aspx
browser_ok,200,ISA (UK) 200,soft_404,200,ISA (UK) 200,www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-200,http://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-200,https://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-200/,4,2fe685013572dd26,external:http://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-200
browser_ok,200,ISA (UK) 720,soft_404,200,ISA (UK) 720,www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-720,http://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-720,https://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-720/,4,4efc97fef5f4b194,external:http://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/auditing-standards/isa-uk-720
